,player_id,season,player_display_name,team,GP,position,age,season_type,carries,rushing_yards,rushing_tds,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,special_teams_tds,rrtd,fantasy_points,oline,qb,rb,wrte,dst
70,00-0023462,2014,Roddy White,atl,14,WR,32.0,REG,0,0.0,0,0.0,0.0,0,80,125,921.0,7,1.0,1235.0,182.0,54.0,0,0.0,7,132.1,51.010616894171534,13.572590304023784,9.010469872914376,38.62968009606769,79.34809249786872
71,00-0023462,2015,Roddy White,atl,15,WR,33.0,REG,0,0.0,0,0.0,0.0,0,43,70,506.0,1,0.0,704.0,105.0,27.0,0,0.0,1,56.6,45.45454545454545,11.919080255922363,8.702838176522386,33.9235361130098,94.7902885500183
72,00-0023465,2013,Heath Miller,pit,14,TE,30.0,REG,0,0.0,0,0.0,0.0,0,58,78,593.0,1,1.0,538.0,224.0,30.0,0,0.0,1,63.3,46.36300983647641,12.262456404151788,8.472317941649438,34.900837457970475,96.20459621488186
73,00-0023465,2014,Heath Miller,pit,16,TE,31.0,REG,0,0.0,0,0.0,0.0,0,66,91,761.0,3,1.0,666.0,325.0,42.0,1,0.0,3,94.1,55.22023090970997,14.499859749316837,10.495585748125668,41.26883159420946,86.83099121175411
74,00-0023465,2015,Heath Miller,pit,15,TE,32.0,REG,1,2.0,0,0.0,0.0,0,60,81,535.0,2,0.0,465.0,212.0,29.0,1,0.0,2,67.7,51.87747035573122,13.563401953840447,10.086033835183445,38.60352863785358,107.4188913424888
75,00-0023496,2013,Vincent Jackson,tam,16,WR,30.0,REG,1,0.0,0,0.0,0.0,0,78,160,1224.0,7,0.0,2045.0,319.0,60.0,0,0.0,7,164.4,35.33613182131445,8.640578925033566,9.170362320063637,24.59241694048015,90.50501124406564
76,00-0023496,2014,Vincent Jackson,tam,16,WR,31.0,REG,0,0.0,0,0.0,0.0,0,70,142,1002.0,2,1.0,2027.0,140.0,50.0,0,0.0,2,110.2,35.162658247438635,9.05094439044374,7.383865318296594,25.760380188186023,86.34939029959808
77,00-0023496,2015,Vincent Jackson,tam,10,WR,32.0,REG,0,0.0,0,0.0,0.0,0,33,62,543.0,3,0.0,831.0,103.0,28.0,1,0.0,3,74.30000000000001,45.701581027667984,11.211005019907434,11.72264715663452,31.90824505665962,80.74422801735585
78,00-0023496,2016,Vincent Jackson,tam,5,WR,33.0,REG,0,0.0,0,0.0,0.0,0,15,32,173.0,0,0.0,435.0,16.0,8.0,0,0.0,0,17.3,42.328667918002985,10.9168106316602,8.806668302910504,31.07092256703288,99.9674426167508
79,00-0023503,2014,Courtney Roby,atl,1,WR,31.0,REG,0,0.0,0,0.0,0.0,0,1,2,11.0,0,0.0,15.0,1.0,1.0,0,0.0,0,1.1,51.010616894171534,13.572590304023784,9.010469872914376,38.62968009606769,79.34809249786872
80,00-0023506,2013,Alex Smith,cin,20,TE,31.0,REG,0,0.0,0,0.0,0.0,0,3,6,12.0,1,0.0,36.0,6.0,1.0,0,0.0,1,7.2,47.86667502036213,12.288968735027105,10.174745658945705,34.97629563046176,126.71012361381617
81,00-0023506,2015,Alex Smith,was,18,TE,33.0,REG,0,0.0,0,0.0,0.0,0,0,2,0.0,0,0.0,7.0,0.0,0.0,0,0.0,0,0.0,48.17193675889328,12.557531594823365,9.50812566904362,35.74066684680496,93.25297678524208
82,00-0023630,2013,Joel Dreessen,den,5,TE,31.0,REG,0,0.0,0,0.0,0.0,0,7,9,47.0,1,0.0,38.0,27.0,3.0,0,0.0,1,10.7,70.92287450660986,18.75997934731319,12.9536826874965,53.39378737312215,98.901065724723
83,00-0023679,2013,Billy Bajema,rav,2,TE,30.0,REG,0,0.0,0,0.0,0.0,0,2,2,18.0,0,0.0,9.0,9.0,1.0,0,0.0,0,1.8,35.83735354927636,9.386020440364756,6.904745642344119,26.714058176422764,114.27314635605444
84,00-0023752,2014,Daniel Fells,nyg,12,TE,30.0,REG,0,0.0,0,0.0,0.0,0,16,20,188.0,4,1.0,128.0,85.0,12.0,0,0.0,4,40.8,47.79150029405392,12.491858981205556,9.304188886689484,35.55375248496966,97.4577157701656
85,00-0023752,2015,Daniel Fells,nyg,2,TE,31.0,REG,0,0.0,0,0.0,0.0,0,6,7,60.0,0,0.0,25.0,37.0,4.0,0,0.0,0,6.0,50.14822134387351,13.131324875254572,9.672769938592168,37.37377079880147,83.04880386969768
86,00-0023921,2013,Miles Austin,dal,11,WR,29.0,REG,0,0.0,0,0.0,0.0,0,24,49,244.0,0,0.0,357.0,101.0,14.0,0,0.0,0,24.4,54.633168347847885,14.25270732153566,10.741696934588004,40.5653977612938,78.06752608962553
87,00-0023921,2014,Miles Austin,cle,12,WR,30.0,REG,0,0.0,0,0.0,0.0,0,47,72,568.0,2,0.0,588.0,200.0,34.0,0,0.0,2,68.80000000000001,35.65790695514904,8.924080606181148,8.46610139932828,25.39930634066942,108.71678902539276
88,00-0023921,2015,Miles Austin,phi,11,WR,31.0,REG,0,0.0,0,0.0,0.0,0,13,31,224.0,1,0.0,413.0,62.0,9.0,0,0.0,1,28.4,40.0197628458498,10.266544656372384,8.537005198202902,29.220165560444475,92.24020924450863
89,00-0023968,2014,Micheal Spurlock,chi,1,WR,31.0,REG,0,0.0,0,0.0,0.0,0,1,3,8.0,0,0.0,25.0,6.0,0.0,0,0.0,0,0.8,41.600891447673874,10.854319105895346,8.173688560688092,30.893062070625216,73.57692805383024
90,00-0024221,2013,Vernon Davis,sfo,15,TE,29.0,REG,0,0.0,0,0.0,0.0,0,52,84,850.0,13,1.0,1129.0,264.0,35.0,0,0.0,13,161.0,49.1197293402669,11.45347635848502,14.891843060300976,32.59835578953429,125.23412092002664
91,00-0024221,2014,Vernon Davis,sfo,13,TE,30.0,REG,1,4.0,0,0.0,0.0,0,26,50,245.0,2,0.0,593.0,49.0,11.0,0,0.0,2,36.9,39.61989661683226,9.30860051621856,11.741566262435027,26.49370916154513,102.92424740413996
92,00-0024221,2015,Vernon Davis,den,13,TE,31.0,REG,0,0.0,0,0.0,0.0,0,38,58,395.0,0,0.0,559.0,143.0,21.0,0,0.0,0,39.5,39.03162055335968,9.990830751700315,8.411672542107324,28.435441370223977,129.2550963959943
93,00-0024221,2015,Vernon Davis,den,13,TE,31.0,REG,0,0.0,0,0.0,0.0,0,38,58,395.0,0,0.0,559.0,143.0,21.0,0,0.0,0,39.5,39.03162055335968,9.990830751700315,8.411672542107324,28.435441370223977,129.2550963959943
94,00-0024221,2016,Vernon Davis,was,15,TE,32.0,REG,0,0.0,0,0.0,0.0,0,44,59,583.0,2,0.0,525.0,238.0,22.0,0,0.0,2,70.30000000000001,53.44289915904287,14.068856295895197,10.020493237408392,40.04212945754786,90.04196765388939
